City_District,Year,Season,Crop_Type,Failure_Rate_Percentage,Affected_Area_Hectares,Primary_Cause,Economic_Loss_Crores
Panvel,2022,Zaid,Sugarcane,92.04,1867.07,Disease,171.85
Gondia,2021,Rabi,Wheat,84.3,4662.46,Disease,393.05
Solapur,2023,Zaid,Wheat,65.5,3062.8,Drought,200.61
Wardha,2022,Rabi,Tur (Pigeon Pea),36.88,3465.79,Pest Attack,127.82
Mira-Bhayandar,2024,Kharif,Cotton,59.03,3003.39,Heatwave,177.29
Bhusawal,2023,Zaid,Rice,11.74,2169.88,Unseasonal Rain,25.47
Jalna,2021,Rabi,Sugarcane,70.48,4332.52,Pest Attack,305.36
Bhandara,2024,Zaid,Sugarcane,76.87,3437.7,Unseasonal Rain,264.26
Ratnagiri,2021,Kharif,Bajra,48.09,276.9,Unseasonal Rain,13.32
Malegaon,2021,Kharif,Cotton,15.86,3286.09,Pest Attack,52.12
Aurangabad,2021,Kharif,Bajra,71.68,4922.42,Disease,352.84
Wardha,2024,Rabi,Wheat,85.07,1042.22,Flood,88.66
Pune,2021,Rabi,Cotton,52.09,4883.71,Flood,254.39
Ambarnath,2023,Rabi,Tur (Pigeon Pea),81.87,4264.54,Disease,349.14
Hingoli,2022,Rabi,Maize,35.7,1964.64,Pest Attack,70.14
Kalyan-Dombivli,2024,Kharif,Cotton,84.3,1276.89,Drought,107.64
Jalgaon,2024,Zaid,Sugarcane,33.91,4018.48,Pest Attack,136.27
Palghar,2022,Zaid,Rice,88.87,3980.81,Drought,353.77
Pune,2023,Rabi,Soybean,74.07,596.23,Unseasonal Rain,44.16
Kalyan-Dombivli,2023,Zaid,Wheat,5.49,1639.46,Pest Attack,9.0
Thane,2024,Zaid,Cotton,85.49,4943.37,Flood,422.61
Sangli,2022,Kharif,Cotton,83.35,268.22,Drought,22.36
Nagpur,2022,Zaid,Wheat,24.74,1088.08,Flood,26.92
Amravati,2023,Rabi,Tur (Pigeon Pea),50.35,3712.82,Drought,186.94
Thane,2024,Kharif,Bajra,65.09,3542.78,Flood,230.6
Satara,2023,Rabi,Onion,52.28,4151.56,Drought,217.04
Nanded,2024,Kharif,Rice,68.21,2076.81,Soil Degradation,141.66
Vasai-Virar,2024,Kharif,Jowar,63.37,217.61,Soil Degradation,13.79
Jalna,2021,Rabi,Onion,67.41,4215.5,Disease,284.17
Bhandara,2024,Rabi,Tur (Pigeon Pea),35.82,2924.98,Unseasonal Rain,104.77
Sangli,2024,Rabi,Maize,9.83,3045.31,Flood,29.94
Nandurbar,2023,Zaid,Wheat,29.62,3554.61,Pest Attack,105.29
Solapur,2023,Rabi,Tur (Pigeon Pea),82.55,4855.6,Drought,400.83
Hingoli,2021,Zaid,Onion,16.09,3484.91,Unseasonal Rain,56.07
Yavatmal,2022,Rabi,Tur (Pigeon Pea),45.84,3134.24,Unseasonal Rain,143.67
Jalgaon,2024,Zaid,Jowar,35.35,2939.06,Unseasonal Rain,103.9
Sindhudurg,2024,Rabi,Tur (Pigeon Pea),75.26,4872.39,Unseasonal Rain,366.7
Pune,2024,Zaid,Onion,8.94,4131.94,Drought,36.94
Akola,2024,Rabi,Maize,77.95,3520.82,Pest Attack,274.45
Jalgaon,2021,Rabi,Maize,89.27,639.87,Disease,57.12
Panvel,2021,Rabi,Wheat,76.39,3621.0,Drought,276.61
Vasai-Virar,2022,Zaid,Soybean,52.57,4652.96,Heatwave,244.61
Hingoli,2022,Rabi,Onion,90.26,3293.22,Pest Attack,297.25
Panvel,2022,Kharif,Onion,9.08,4500.49,Flood,40.86
Bhusawal,2021,Zaid,Wheat,24.8,3568.25,Unseasonal Rain,88.49
Bhiwandi,2023,Rabi,Wheat,48.47,3708.2,Drought,179.74
Vasai-Virar,2021,Zaid,Tur (Pigeon Pea),36.57,673.16,Heatwave,24.62
Mira-Bhayandar,2024,Zaid,Maize,22.06,4928.02,Heatwave,108.71
Gondia,2021,Kharif,Soybean,48.63,1869.07,Soil Degradation,90.89
Sangli,2024,Zaid,Wheat,19.09,2416.89,Pest Attack,46.14
Chandrapur,2021,Zaid,Maize,7.95,4560.0,Flood,36.25
Hingoli,2021,Kharif,Cotton,64.3,4653.84,Pest Attack,299.24
Akola,2023,Zaid,Tur (Pigeon Pea),5.84,1357.35,Flood,7.93
Nagpur,2021,Zaid,Tur (Pigeon Pea),58.92,3398.17,Flood,200.22
Satara,2021,Zaid,Rice,64.45,3476.08,Disease,224.03
Nashik,2021,Kharif,Tur (Pigeon Pea),51.14,1153.57,Flood,58.99
Bhandara,2021,Rabi,Sugarcane,89.18,2683.02,Heatwave,239.27
Wardha,2023,Zaid,Wheat,92.76,1309.99,Soil Degradation,121.51
Panvel,2024,Rabi,Cotton,9.07,880.73,Soil Degradation,7.99
Bhandara,2023,Rabi,Soybean,5.25,4388.99,Disease,23.04
Navi Mumbai,2024,Kharif,Tur (Pigeon Pea),24.77,1078.78,Heatwave,26.72
Satara,2024,Kharif,Onion,94.99,1873.89,Disease,178.0
Washim,2021,Kharif,Onion,39.44,4087.68,Unseasonal Rain,161.22
Nandurbar,2021,Rabi,Tur (Pigeon Pea),84.43,1649.56,Unseasonal Rain,139.27
Amravati,2022,Rabi,Maize,88.34,2141.16,Heatwave,189.15
Satara,2023,Zaid,Maize,61.3,3234.3,Disease,198.26
Ichalkaranji,2021,Kharif,Maize,39.57,3407.61,Unseasonal Rain,134.84
Bhandara,2022,Zaid,Cotton,86.95,1795.51,Soil Degradation,156.12
Solapur,2022,Zaid,Soybean,22.39,2452.93,Disease,54.92
Latur,2021,Rabi,Tur (Pigeon Pea),28.64,4469.78,Soil Degradation,128.01
Parbhani,2024,Kharif,Rice,76.49,4228.7,Heatwave,323.45
Akola,2022,Zaid,Onion,36.32,1851.22,Disease,67.24
Hingoli,2022,Zaid,Tur (Pigeon Pea),26.22,2293.33,Unseasonal Rain,60.13
Malegaon,2024,Zaid,Onion,60.76,1607.14,Pest Attack,97.65
Gondia,2022,Zaid,Onion,33.39,574.5,Soil Degradation,19.18
Osmanabad,2023,Kharif,Sugarcane,14.97,1939.19,Heatwave,29.03
Mumbai,2022,Kharif,Wheat,67.38,680.01,Heatwave,45.82
Kolhapur,2021,Rabi,Jowar,83.59,357.31,Soil Degradation,29.87
Solapur,2024,Kharif,Soybean,11.85,250.44,Disease,2.97
Dhule,2023,Kharif,Maize,26.02,2911.55,Soil Degradation,75.76
Nanded,2021,Rabi,Soybean,62.74,4108.71,Flood,257.78
Bhusawal,2023,Zaid,Soybean,67.54,2887.64,Drought,195.03
Nandurbar,2021,Zaid,Maize,92.93,4442.79,Unseasonal Rain,412.87
Mumbai,2022,Zaid,Jowar,16.1,1795.98,Drought,28.92
Akola,2024,Zaid,Tur (Pigeon Pea),75.89,2132.72,Soil Degradation,161.85
Gondia,2024,Zaid,Maize,17.69,3788.76,Pest Attack,67.02
Kalyan-Dombivli,2023,Rabi,Wheat,11.47,1051.95,Pest Attack,12.07
Osmanabad,2024,Zaid,Tur (Pigeon Pea),44.89,3154.75,Flood,141.62
Wardha,2024,Zaid,Cotton,65.52,947.68,Heatwave,62.09
Nanded,2021,Rabi,Onion,47.78,3885.85,Unseasonal Rain,185.67
Malegaon,2024,Zaid,Cotton,76.67,2086.06,Heatwave,159.94
Wardha,2024,Rabi,Onion,60.01,1589.83,Disease,95.41
Beed,2023,Kharif,Onion,58.08,2475.81,Pest Attack,143.8
Vasai-Virar,2022,Rabi,Bajra,48.51,3053.31,Disease,148.12
Jalgaon,2022,Rabi,Bajra,51.45,3139.34,Drought,161.52
Bhandara,2023,Kharif,Cotton,72.73,270.0,Heatwave,19.64
Mumbai,2024,Rabi,Sugarcane,21.25,4705.93,Flood,100.0
Solapur,2021,Rabi,Onion,13.0,392.08,Drought,5.1
Panvel,2023,Kharif,Rice,18.51,236.75,Flood,4.38
Akola,2024,Zaid,Bajra,5.91,4165.73,Heatwave,24.62
Ratnagiri,2021,Rabi,Soybean,75.48,1062.52,Soil Degradation,80.2
Beed,2021,Kharif,Cotton,82.41,2798.62,Unseasonal Rain,230.63
Amravati,2024,Rabi,Maize,77.34,4952.94,Drought,383.06
Latur,2021,Zaid,Sugarcane,10.55,3936.69,Disease,41.53
Bhandara,2021,Zaid,Onion,32.45,1900.6,Flood,61.67
Dhule,2023,Kharif,Bajra,51.09,3065.43,Flood,156.61
Sangli,2021,Rabi,Bajra,92.21,3282.51,Drought,302.68
Yavatmal,2024,Kharif,Maize,34.79,1544.04,Pest Attack,53.72
Aurangabad,2022,Zaid,Soybean,57.58,2146.73,Disease,123.61
Bhandara,2021,Zaid,Bajra,77.42,1565.21,Unseasonal Rain,121.18
Nanded,2024,Rabi,Soybean,51.82,2092.18,Pest Attack,108.42
Aurangabad,2021,Rabi,Rice,70.26,3433.94,Heatwave,241.27
Yavatmal,2022,Rabi,Soybean,25.87,4284.51,Pest Attack,110.84
Kalyan-Dombivli,2021,Rabi,Tur (Pigeon Pea),9.93,2468.46,Pest Attack,24.51
Bhiwandi,2021,Kharif,Maize,23.41,1563.8,Pest Attack,36.61
Nanded,2023,Kharif,Maize,67.49,2008.39,Flood,135.55
Ratnagiri,2021,Kharif,Wheat,84.33,1302.79,Flood,109.86
Sangli,2023,Zaid,Tur (Pigeon Pea),5.67,1506.63,Soil Degradation,8.54
Ichalkaranji,2024,Rabi,Maize,20.88,4641.69,Flood,96.92
Akola,2023,Rabi,Maize,54.78,1306.36,Drought,71.56
Amravati,2024,Zaid,Cotton,58.59,3175.44,Pest Attack,186.05
Ichalkaranji,2021,Rabi,Tur (Pigeon Pea),65.08,4980.03,Soil Degradation,324.1
Beed,2021,Rabi,Onion,94.48,3908.02,Drought,369.23
Amravati,2022,Kharif,Sugarcane,18.86,4191.86,Soil Degradation,79.06
Malegaon,2022,Zaid,Bajra,46.88,3336.11,Flood,156.4
Yavatmal,2024,Rabi,Rice,79.25,450.12,Pest Attack,35.67
Vasai-Virar,2022,Zaid,Sugarcane,21.79,2377.64,Disease,51.81
Beed,2022,Kharif,Wheat,23.94,1238.38,Soil Degradation,29.65
Chandrapur,2024,Zaid,Bajra,73.57,3710.79,Disease,273.0
Yavatmal,2023,Kharif,Rice,29.13,3138.33,Pest Attack,91.42
Hingoli,2023,Rabi,Tur (Pigeon Pea),15.31,575.74,Drought,8.81
Bhiwandi,2024,Kharif,Jowar,44.49,2274.77,Soil Degradation,101.2
Palghar,2024,Zaid,Wheat,71.38,4300.79,Heatwave,306.99
Sindhudurg,2023,Zaid,Sugarcane,32.42,3027.14,Unseasonal Rain,98.14
Ahmednagar,2022,Zaid,Onion,42.65,4161.72,Flood,177.5
Jalgaon,2022,Zaid,Tur (Pigeon Pea),75.5,264.88,Pest Attack,20.0
Gondia,2022,Zaid,Wheat,68.55,2242.71,Unseasonal Rain,153.74
Ambarnath,2021,Rabi,Onion,75.58,4856.6,Pest Attack,367.06
Dhule,2023,Zaid,Tur (Pigeon Pea),67.39,4153.18,Flood,279.88
Sangli,2023,Kharif,Rice,70.87,1786.23,Drought,126.59
Latur,2021,Kharif,Maize,87.9,691.22,Unseasonal Rain,60.76
Ratnagiri,2022,Zaid,Bajra,30.03,841.87,Disease,25.28
Solapur,2024,Zaid,Bajra,72.22,4734.68,Flood,341.94
Mira-Bhayandar,2021,Kharif,Tur (Pigeon Pea),85.4,3395.59,Unseasonal Rain,289.98
Nandurbar,2021,Kharif,Soybean,15.77,3698.84,Unseasonal Rain,58.33
Thane,2021,Zaid,Cotton,81.94,692.27,Disease,56.72
Nandurbar,2024,Zaid,Onion,22.88,4440.68,Drought,101.6
Sindhudurg,2024,Kharif,Tur (Pigeon Pea),91.62,3743.81,Disease,343.01
Dhule,2024,Kharif,Jowar,67.2,2969.46,Flood,199.55
Nandurbar,2022,Rabi,Bajra,27.72,2815.7,Disease,78.05
Satara,2023,Rabi,Onion,11.75,4836.37,Disease,56.83
Bhiwandi,2021,Zaid,Onion,38.79,2872.1,Flood,111.41
Navi Mumbai,2021,Rabi,Bajra,74.72,3464.85,Disease,258.89
Bhiwandi,2023,Kharif,Wheat,77.63,940.84,Unseasonal Rain,73.04
Aurangabad,2023,Kharif,Bajra,72.75,1054.46,Drought,76.71
Ulhasnagar,2021,Kharif,Wheat,29.29,4299.83,Soil Degradation,125.94
Sangli,2022,Kharif,Sugarcane,7.36,1413.01,Soil Degradation,10.4
Satara,2021,Zaid,Cotton,33.88,3239.88,Disease,109.77
Ahmednagar,2021,Kharif,Maize,64.73,4157.56,Disease,269.12
Washim,2024,Zaid,Soybean,39.91,3229.54,Flood,128.89
Washim,2023,Zaid,Wheat,60.89,2746.18,Pest Attack,167.21
Palghar,2022,Zaid,Jowar,70.35,4678.35,Disease,329.12
Palghar,2024,Kharif,Jowar,8.6,746.8,Drought,6.42
Sindhudurg,2023,Rabi,Maize,12.15,3668.97,Drought,44.58
Washim,2023,Rabi,Tur (Pigeon Pea),27.13,1913.67,Drought,51.92
Bhandara,2021,Zaid,Soybean,46.74,4511.88,Heatwave,210.89
Bhiwandi,2023,Kharif,Cotton,78.11,571.89,Heatwave,44.67
Osmanabad,2021,Kharif,Cotton,49.33,1020.25,Disease,50.33
Ahmednagar,2024,Kharif,Sugarcane,59.65,2148.54,Pest Attack,128.16
Mira-Bhayandar,2022,Kharif,Rice,23.41,3984.14,Heatwave,93.27
Pune,2023,Zaid,Bajra,32.94,1504.44,Pest Attack,49.56
Ratnagiri,2022,Zaid,Rice,90.52,3396.62,Drought,307.46
Nandurbar,2022,Zaid,Maize,45.11,3981.32,Drought,179.6
Bhiwandi,2021,Rabi,Wheat,19.78,4477.06,Flood,88.56
Chandrapur,2021,Rabi,Cotton,17.02,2947.41,Drought,50.16
Ambarnath,2021,Rabi,Maize,73.91,3425.24,Soil Degradation,253.16
Kolhapur,2022,Kharif,Bajra,38.06,725.32,Unseasonal Rain,27.61
Kolhapur,2022,Kharif,Jowar,46.17,2821.56,Heatwave,130.27
Thane,2021,Rabi,Jowar,73.36,3868.32,Disease,283.78
Gondia,2022,Rabi,Onion,72.71,4686.77,Soil Degradation,340.78
Mumbai,2021,Rabi,Rice,77.05,3654.7,Pest Attack,281.59
Nashik,2022,Kharif,Wheat,5.52,349.08,Heatwave,1.93
Mumbai,2022,Kharif,Jowar,37.57,2415.38,Flood,90.75
Bhusawal,2023,Zaid,Rice,37.38,2424.3,Pest Attack,90.62
Ahmednagar,2021,Rabi,Jowar,38.28,629.51,Pest Attack,24.1
Wardha,2024,Zaid,Rice,15.69,1655.24,Flood,25.97
Beed,2022,Kharif,Soybean,37.23,3035.21,Drought,113.0
Nashik,2024,Rabi,Jowar,62.15,2352.59,Soil Degradation,146.21
Jalna,2021,Zaid,Rice,35.32,687.09,Drought,24.27
Bhiwandi,2023,Zaid,Cotton,60.59,4420.53,Disease,267.84
Aurangabad,2024,Zaid,Sugarcane,14.34,4937.59,Heatwave,70.81
Sangli,2022,Kharif,Cotton,93.21,3222.79,Heatwave,300.4
Latur,2023,Kharif,Soybean,10.59,3497.4,Unseasonal Rain,37.04
Mumbai,2024,Kharif,Tur (Pigeon Pea),80.94,2818.51,Heatwave,228.13
Nanded,2021,Rabi,Sugarcane,79.32,988.72,Unseasonal Rain,78.43
Wardha,2023,Rabi,Jowar,50.28,1371.66,Unseasonal Rain,68.97
Washim,2022,Rabi,Jowar,63.56,3309.03,Disease,210.32
Nanded,2024,Kharif,Soybean,31.25,4212.57,Heatwave,131.64
Nagpur,2024,Kharif,Maize,40.16,2890.28,Disease,116.07
Akola,2023,Zaid,Soybean,39.35,2405.24,Heatwave,94.65
Aurangabad,2023,Zaid,Wheat,21.13,4532.67,Pest Attack,95.78
Bhusawal,2024,Zaid,Rice,73.8,4593.98,Disease,339.04
Bhiwandi,2021,Kharif,Sugarcane,41.48,4928.01,Heatwave,204.41
Sangli,2023,Rabi,Tur (Pigeon Pea),91.22,2751.75,Heatwave,251.01
Gondia,2023,Kharif,Bajra,28.76,4534.27,Soil Degradation,130.41
Aurangabad,2024,Kharif,Onion,94.59,1499.57,Disease,141.84
Jalna,2021,Zaid,Tur (Pigeon Pea),47.46,265.34,Drought,12.59
Wardha,2021,Rabi,Bajra,7.62,4128.48,Disease,31.46
Kalyan-Dombivli,2023,Zaid,Tur (Pigeon Pea),24.26,1243.3,Pest Attack,30.16
Ichalkaranji,2021,Kharif,Bajra,68.21,527.16,Unseasonal Rain,35.96
Sangli,2021,Zaid,Maize,5.08,735.81,Disease,3.74
Mumbai,2023,Rabi,Rice,68.57,4525.97,Heatwave,310.35
Thane,2022,Kharif,Sugarcane,29.89,2052.02,Flood,61.33
Mumbai,2022,Kharif,Bajra,11.11,2440.6,Disease,27.12
Ratnagiri,2021,Kharif,Jowar,19.25,2305.69,Drought,44.38
Navi Mumbai,2023,Kharif,Rice,35.29,1096.82,Heatwave,38.71
Sindhudurg,2024,Zaid,Soybean,74.18,1306.4,Unseasonal Rain,96.91
Jalna,2023,Rabi,Wheat,69.46,2915.28,Drought,202.5
Bhandara,2023,Rabi,Maize,87.0,4994.45,Soil Degradation,434.52
Jalgaon,2023,Rabi,Onion,38.96,4695.26,Pest Attack,182.93
Vasai-Virar,2022,Rabi,Wheat,64.77,515.7,Flood,33.4
Vasai-Virar,2021,Kharif,Tur (Pigeon Pea),52.2,1087.49,Drought,56.77
Nashik,2023,Kharif,Cotton,91.2,1836.77,Unseasonal Rain,167.51
Chandrapur,2021,Rabi,Tur (Pigeon Pea),51.1,1260.94,Pest Attack,64.43
Dhule,2022,Kharif,Onion,30.22,3627.46,Unseasonal Rain,109.62
Nashik,2021,Rabi,Onion,17.28,177.74,Drought,3.07
Mumbai,2023,Rabi,Onion,10.4,1497.69,Flood,15.58
Chandrapur,2022,Zaid,Tur (Pigeon Pea),76.83,1757.31,Unseasonal Rain,135.01
Beed,2024,Kharif,Rice,27.41,2121.33,Soil Degradation,58.15
Vasai-Virar,2022,Zaid,Soybean,47.82,230.73,Unseasonal Rain,11.03
Bhiwandi,2023,Zaid,Rice,47.31,1964.9,Unseasonal Rain,92.96
Sindhudurg,2022,Zaid,Soybean,55.7,2342.84,Heatwave,130.5
Nanded,2022,Rabi,Soybean,62.87,4430.23,Pest Attack,278.53
Nashik,2023,Rabi,Cotton,45.96,1515.57,Drought,69.66
Bhiwandi,2021,Zaid,Soybean,19.82,155.42,Flood,3.08
Nanded,2024,Kharif,Onion,12.57,475.3,Heatwave,5.97
Amravati,2022,Rabi,Bajra,6.07,4322.6,Pest Attack,26.24
Satara,2024,Rabi,Cotton,57.81,4064.73,Flood,234.98
Ichalkaranji,2022,Zaid,Cotton,17.73,3700.5,Pest Attack,65.61
Wardha,2023,Kharif,Sugarcane,75.98,707.69,Drought,53.77
Beed,2022,Rabi,Onion,43.21,4462.39,Unseasonal Rain,192.82
Ichalkaranji,2024,Rabi,Wheat,17.09,2485.32,Disease,42.47
Ahmednagar,2022,Rabi,Rice,85.96,2578.78,Drought,221.67
Malegaon,2021,Rabi,Jowar,41.95,993.87,Drought,41.69
Ratnagiri,2021,Kharif,Soybean,92.34,1609.2,Unseasonal Rain,148.59
Gondia,2021,Kharif,Onion,38.08,3774.68,Unseasonal Rain,143.74
Bhiwandi,2022,Rabi,Cotton,32.7,282.22,Unseasonal Rain,9.23
Ambarnath,2021,Kharif,Maize,63.82,3921.31,Pest Attack,250.26
Nagpur,2022,Zaid,Wheat,79.5,714.01,Unseasonal Rain,56.76
Akola,2022,Kharif,Wheat,6.91,1646.08,Disease,11.37
Jalna,2021,Rabi,Rice,65.53,2860.63,Flood,187.46
Hingoli,2023,Rabi,Onion,89.08,3107.72,Disease,276.84
Chandrapur,2023,Rabi,Tur (Pigeon Pea),47.63,1599.58,Drought,76.19
Beed,2022,Rabi,Jowar,76.18,4479.64,Pest Attack,341.26
Mira-Bhayandar,2022,Zaid,Wheat,54.64,1273.04,Soil Degradation,69.56
Kolhapur,2022,Zaid,Soybean,54.54,1902.78,Disease,103.78
Beed,2022,Zaid,Tur (Pigeon Pea),52.81,4908.6,Soil Degradation,259.22
Washim,2024,Zaid,Bajra,12.41,3874.95,Drought,48.09
Mumbai,2021,Zaid,Maize,46.03,4532.1,Soil Degradation,208.61
Mumbai,2021,Rabi,Sugarcane,88.73,210.21,Drought,18.65
Palghar,2021,Kharif,Onion,7.34,4979.68,Pest Attack,36.55
Nandurbar,2024,Zaid,Maize,22.76,342.43,Disease,7.79
Ratnagiri,2022,Rabi,Onion,82.73,2198.68,Drought,181.9
Washim,2023,Zaid,Cotton,31.35,4517.56,Pest Attack,141.63
Washim,2022,Rabi,Bajra,16.6,4166.13,Heatwave,69.16
Jalgaon,2023,Rabi,Onion,16.39,4032.6,Soil Degradation,66.09
Hingoli,2022,Rabi,Tur (Pigeon Pea),8.44,647.32,Soil Degradation,5.46
Beed,2022,Rabi,Rice,44.23,915.28,Disease,40.48
Nandurbar,2024,Rabi,Tur (Pigeon Pea),66.27,1470.67,Heatwave,97.46
Gondia,2023,Rabi,Soybean,10.1,103.07,Soil Degradation,1.04
Nandurbar,2021,Rabi,Maize,42.27,2278.89,Disease,96.33
Ulhasnagar,2023,Zaid,Bajra,56.11,285.67,Unseasonal Rain,16.03
Sindhudurg,2021,Kharif,Maize,7.09,3459.63,Pest Attack,24.53
Gondia,2023,Kharif,Jowar,66.2,857.85,Drought,56.79
Nanded,2021,Kharif,Maize,52.57,523.72,Soil Degradation,27.53
Vasai-Virar,2022,Zaid,Sugarcane,20.36,1077.79,Drought,21.94
Washim,2022,Zaid,Cotton,68.66,638.32,Pest Attack,43.83
Jalgaon,2024,Rabi,Sugarcane,62.9,1555.51,Soil Degradation,97.84
Nanded,2024,Kharif,Cotton,39.06,3174.07,Flood,123.98
Yavatmal,2024,Rabi,Bajra,72.65,3980.83,Drought,289.21
Bhiwandi,2021,Rabi,Rice,74.25,4857.38,Unseasonal Rain,360.66
Vasai-Virar,2024,Kharif,Rice,56.85,453.73,Drought,25.79
Sangli,2021,Rabi,Tur (Pigeon Pea),90.02,1250.75,Flood,112.59
Amravati,2024,Kharif,Soybean,77.02,4867.89,Disease,374.92
Sindhudurg,2021,Rabi,Cotton,75.03,4593.44,Heatwave,344.65
Ulhasnagar,2022,Zaid,Bajra,24.39,4443.6,Flood,108.38
Bhiwandi,2023,Kharif,Sugarcane,75.12,2420.16,Heatwave,181.8
Sangli,2024,Rabi,Jowar,28.0,1613.3,Heatwave,45.17
Sindhudurg,2023,Kharif,Rice,29.27,4257.8,Drought,124.63
Satara,2021,Zaid,Wheat,89.47,882.73,Disease,78.98
Gondia,2021,Kharif,Onion,80.15,3591.76,Flood,287.88
Thane,2023,Zaid,Soybean,15.96,2195.09,Pest Attack,35.03
Sindhudurg,2021,Zaid,Onion,9.86,1874.22,Pest Attack,18.48
Panvel,2022,Kharif,Rice,91.18,2071.35,Unseasonal Rain,188.87
Ambarnath,2023,Zaid,Bajra,34.28,2518.51,Soil Degradation,86.33
Ratnagiri,2024,Kharif,Maize,61.43,3404.87,Drought,209.16
Mira-Bhayandar,2024,Rabi,Rice,73.33,1677.26,Unseasonal Rain,122.99
Satara,2021,Rabi,Rice,68.97,4453.67,Disease,307.17
Osmanabad,2024,Rabi,Cotton,43.9,2086.32,Pest Attack,91.59
Bhiwandi,2022,Rabi,Jowar,68.99,3140.88,Drought,216.69
Bhandara,2024,Zaid,Maize,78.32,3046.36,Disease,238.59
Mira-Bhayandar,2022,Kharif,Soybean,73.64,547.35,Pest Attack,40.31
Dhule,2022,Rabi,Onion,92.33,1091.91,Heatwave,100.82
Bhusawal,2023,Zaid,Rice,61.92,2235.93,Soil Degradation,138.45
Parbhani,2024,Rabi,Bajra,77.91,4125.23,Flood,321.4
Latur,2021,Rabi,Sugarcane,71.2,1058.35,Flood,75.35
Latur,2021,Rabi,Wheat,7.25,1638.75,Drought,11.88
Latur,2022,Kharif,Onion,51.45,4894.99,Soil Degradation,251.85
Mira-Bhayandar,2023,Rabi,Wheat,30.93,4463.32,Heatwave,138.05
Amravati,2023,Rabi,Soybean,6.05,3683.02,Soil Degradation,22.28
Dhule,2024,Rabi,Jowar,29.5,178.17,Heatwave,5.26
Dhule,2023,Rabi,Tur (Pigeon Pea),10.65,884.95,Disease,9.42
Ambarnath,2021,Kharif,Onion,51.92,3175.0,Pest Attack,164.85
Navi Mumbai,2024,Rabi,Maize,29.73,396.49,Flood,11.79
Aurangabad,2024,Kharif,Onion,94.7,2986.23,Drought,282.8
Jalna,2022,Kharif,Tur (Pigeon Pea),42.83,3347.9,Unseasonal Rain,143.39
Palghar,2022,Rabi,Bajra,18.54,1786.43,Disease,33.12
Akola,2021,Kharif,Sugarcane,93.72,4061.2,Pest Attack,380.62
Bhusawal,2024,Kharif,Cotton,27.91,3765.52,Flood,105.1
Gondia,2022,Rabi,Tur (Pigeon Pea),61.66,3739.42,Drought,230.57
Washim,2021,Rabi,Tur (Pigeon Pea),89.45,3424.4,Disease,306.31
Aurangabad,2021,Zaid,Rice,27.05,534.62,Unseasonal Rain,14.46
Satara,2021,Kharif,Bajra,26.27,1558.42,Disease,40.94
Malegaon,2022,Rabi,Jowar,5.5,4743.08,Disease,26.09
Sindhudurg,2021,Rabi,Wheat,94.15,822.34,Soil Degradation,77.42
Palghar,2022,Zaid,Bajra,90.86,3058.39,Heatwave,277.89
Latur,2024,Rabi,Cotton,72.34,943.05,Disease,68.22
Latur,2024,Rabi,Wheat,8.28,206.21,Pest Attack,1.71
Latur,2022,Kharif,Maize,47.18,4696.07,Disease,221.56
Akola,2022,Kharif,Sugarcane,60.24,2469.63,Flood,148.77
Gondia,2022,Zaid,Tur (Pigeon Pea),56.05,3051.39,Disease,171.03
Chandrapur,2021,Rabi,Wheat,43.86,2694.51,Disease,118.18
Bhiwandi,2022,Zaid,Jowar,51.53,3344.87,Unseasonal Rain,172.36
Mumbai,2022,Zaid,Rice,37.99,4150.76,Unseasonal Rain,157.69
Nanded,2023,Kharif,Cotton,75.75,1353.88,Heatwave,102.56
Kalyan-Dombivli,2022,Rabi,Cotton,93.13,2688.09,Unseasonal Rain,250.34
Nandurbar,2023,Rabi,Jowar,68.45,1707.54,Unseasonal Rain,116.88
Mumbai,2023,Kharif,Rice,84.32,326.52,Drought,27.53
Palghar,2022,Kharif,Maize,38.63,1322.1,Drought,51.07
Ahmednagar,2024,Zaid,Wheat,37.12,3556.6,Soil Degradation,132.02
Thane,2021,Zaid,Bajra,5.53,4067.72,Flood,22.49
Ulhasnagar,2021,Kharif,Bajra,27.7,4875.54,Drought,135.05
Palghar,2023,Zaid,Rice,78.6,811.31,Unseasonal Rain,63.77
Nagpur,2022,Rabi,Cotton,13.7,4991.68,Flood,68.39
Gondia,2021,Rabi,Bajra,77.12,1225.93,Flood,94.54
Dhule,2021,Zaid,Jowar,49.57,3354.76,Soil Degradation,166.3
Navi Mumbai,2023,Rabi,Maize,13.61,711.59,Pest Attack,9.68
Panvel,2021,Kharif,Wheat,27.15,3537.42,Flood,96.04
Pune,2022,Kharif,Rice,31.0,4035.88,Pest Attack,125.11
Bhusawal,2023,Kharif,Sugarcane,16.83,334.08,Unseasonal Rain,5.62
Malegaon,2023,Zaid,Rice,86.02,4797.79,Flood,412.71
Wardha,2022,Rabi,Bajra,63.35,1754.8,Flood,111.17
Sindhudurg,2022,Rabi,Tur (Pigeon Pea),65.95,2604.37,Pest Attack,171.76
Ulhasnagar,2021,Rabi,Bajra,62.12,3494.55,Disease,217.08
Latur,2022,Zaid,Maize,6.37,3127.44,Heatwave,19.92
Ichalkaranji,2023,Zaid,Wheat,77.53,2862.38,Soil Degradation,221.92
Osmanabad,2023,Zaid,Cotton,62.22,2540.69,Pest Attack,158.08
Aurangabad,2022,Kharif,Jowar,56.07,3777.96,Pest Attack,211.83
