City,Date,Water_Stress_Index,Availability_Liters_Per_Capita,Demand_Liters_Per_Capita,Groundwater_Level_Meters,Risk_Category
Akola,2024-05-06,5.58,49,117,43.4,High
Bhiwandi,2024-12-08,4.68,95,168,26.9,Medium
Aurangabad,2024-07-30,1.87,101,177,25.8,Low
Dhule,2025-02-16,9.35,5,164,56.0,Extremely High
Bhusawal,2024-02-17,7.49,72,118,29.7,High
Yavatmal,2025-07-24,2.68,104,175,46.2,Medium
Nashik,2023-10-15,7.35,65,148,44.3,High
Nashik,2025-02-03,1.23,130,123,53.1,Low
Bhiwandi,2025-01-25,2.19,94,105,53.2,Low
Sindhudurg,2023-11-17,4.31,39,129,26.5,Medium
Kolhapur,2025-05-28,2.37,69,114,47.6,Low
Malegaon,2023-04-16,1.5,142,181,17.4,Low
Aurangabad,2025-11-01,8.31,88,185,65.6,Extremely High
Bhiwandi,2025-06-02,5.76,63,131,35.4,High
Satara,2024-05-28,3.7,53,161,26.1,Medium
Wardha,2023-09-28,7.18,108,168,69.6,High
Latur,2023-01-03,4.36,56,159,51.2,Medium
Mira-Bhayandar,2025-12-10,5.94,41,183,61.5,High
Jalgaon,2023-01-19,8.56,26,175,66.9,Extremely High
Kalyan-Dombivli,2025-05-19,5.43,63,117,57.8,High
Panvel,2023-01-25,5.7,44,115,31.0,High
Jalgaon,2025-04-24,9.68,90,119,65.0,Extremely High
Latur,2025-10-25,6.77,68,161,49.9,High
Wardha,2024-09-05,4.3,63,161,48.8,Medium
Palghar,2025-10-10,4.91,75,173,31.9,Medium
Vasai-Virar,2025-04-02,3.96,69,168,47.2,Medium
Wardha,2024-04-06,7.98,39,192,35.3,High
Ulhasnagar,2023-02-06,7.02,78,193,43.9,High
Hingoli,2025-07-25,4.03,49,124,53.2,Medium
Navi Mumbai,2024-08-08,4.13,122,170,50.6,Medium
Beed,2024-03-20,2.45,55,127,53.4,Low
Akola,2025-05-25,5.93,69,130,26.8,High
Ichalkaranji,2023-12-14,5.33,88,115,55.0,High
Malegaon,2023-06-22,3.09,131,117,33.5,Medium
Kalyan-Dombivli,2024-11-10,5.23,56,185,23.1,High
Latur,2023-02-13,1.86,138,115,44.1,Low
Ichalkaranji,2025-08-22,3.51,70,181,35.6,Medium
Palghar,2024-02-15,6.17,24,135,25.1,High
Ambarnath,2025-11-15,8.72,70,127,72.7,Extremely High
Ahmednagar,2024-08-03,7.03,52,183,50.7,High
Ahmednagar,2023-12-22,1.95,119,116,26.0,Low
Osmanabad,2024-02-24,5.12,56,115,47.5,High
Ahmednagar,2023-11-14,7.15,79,176,49.2,High
Bhusawal,2024-09-05,6.2,43,160,56.4,High
Gondia,2023-12-12,3.09,97,116,17.9,Medium
Latur,2024-02-10,1.46,118,106,47.2,Low
Gondia,2023-05-13,8.7,97,165,38.2,Extremely High
Sindhudurg,2023-04-25,3.36,76,147,26.0,Medium
Malegaon,2025-02-20,7.63,73,130,65.1,High
Sangli,2023-03-12,5.18,44,187,60.0,High
Amravati,2025-02-06,6.12,55,145,27.6,High
Akola,2023-06-30,7.09,112,138,32.3,High
Ahmednagar,2025-02-09,5.51,89,177,21.7,High
Beed,2023-04-05,9.06,5,124,45.1,Extremely High
Chandrapur,2025-09-01,9.8,6,153,75.7,Extremely High
Pune,2025-11-18,6.78,91,148,37.7,High
Bhiwandi,2023-01-11,4.33,38,156,27.9,Medium
Jalgaon,2024-06-12,7.12,112,115,67.5,High
Jalna,2023-04-25,9.51,53,138,69.3,Extremely High
Solapur,2025-05-23,3.31,51,146,43.4,Medium
Hingoli,2023-06-25,6.88,17,193,56.7,High
Ahmednagar,2025-03-28,6.96,36,157,67.2,High
Nandurbar,2024-08-30,9.4,66,141,53.3,Extremely High
Nandurbar,2023-01-26,6.87,43,183,27.5,High
Ulhasnagar,2023-02-15,9.57,82,126,33.8,Extremely High
Ichalkaranji,2025-10-03,8.63,58,145,63.7,Extremely High
Kolhapur,2023-10-22,7.53,91,123,49.7,High
Kalyan-Dombivli,2025-01-17,2.66,70,161,20.7,Medium
Nanded,2023-03-06,5.49,64,130,65.5,High
Nanded,2023-08-17,6.27,72,189,62.2,High
Yavatmal,2023-01-06,2.82,108,145,47.9,Medium
Aurangabad,2025-11-07,2.87,134,169,33.2,Medium
Pune,2025-10-22,9.52,85,153,56.6,Extremely High
Sindhudurg,2025-01-03,7.89,75,134,68.7,High
Ahmednagar,2024-10-08,2.44,121,150,21.3,Low
Jalna,2023-12-30,6.54,85,129,66.1,High
Yavatmal,2024-10-05,5.45,37,178,28.2,High
Gondia,2024-07-06,8.3,94,136,43.8,Extremely High
Chandrapur,2025-06-21,8.24,45,189,50.6,Extremely High
Ratnagiri,2023-07-13,8.65,80,170,63.6,Extremely High
Jalna,2025-03-03,4.11,96,183,22.1,Medium
Vasai-Virar,2024-08-10,5.62,45,139,31.3,High
Chandrapur,2025-08-20,5.12,29,112,65.3,High
Sindhudurg,2024-07-24,1.67,89,155,34.7,Low
Mira-Bhayandar,2025-09-22,9.13,87,185,36.8,Extremely High
Yavatmal,2025-04-16,4.85,54,149,28.3,Medium
Latur,2025-09-13,7.31,77,188,38.4,High
Yavatmal,2023-01-26,4.37,123,118,32.1,Medium
Ratnagiri,2025-04-30,6.15,44,165,52.7,High
Dhule,2024-12-21,5.88,63,171,43.1,High
Satara,2023-01-10,2.31,88,175,17.7,Low
Latur,2025-02-04,5.81,79,111,48.9,High
Malegaon,2024-06-06,5.14,105,156,21.7,High
Osmanabad,2024-07-30,9.83,76,175,58.8,Extremely High
Vasai-Virar,2024-01-21,8.03,60,185,64.8,Extremely High
Aurangabad,2025-10-01,2.72,102,119,40.7,Medium
Parbhani,2025-06-05,2.18,63,122,22.7,Low
Malegaon,2023-03-30,1.75,64,146,15.6,Low
Bhusawal,2023-01-15,3.38,116,136,22.6,Medium
Ahmednagar,2023-01-15,3.14,57,125,45.8,Medium
Sangli,2024-04-18,4.53,63,117,55.9,Medium
Nashik,2025-05-26,3.44,64,109,58.7,Medium
Hingoli,2024-10-07,2.55,96,130,36.4,Medium
Nagpur,2025-04-19,3.05,55,109,34.4,Medium
Dhule,2025-06-14,2.76,125,177,40.8,Medium
Jalgaon,2023-12-16,7.35,75,176,43.5,High
Sangli,2024-02-06,3.5,58,113,23.3,Medium
Ahmednagar,2023-12-14,9.15,103,143,47.0,Extremely High
Dhule,2023-09-04,2.37,136,162,53.7,Low
Parbhani,2023-10-05,4.63,90,171,58.9,Medium
Amravati,2025-10-02,3.22,108,133,35.3,Medium
Nashik,2024-07-31,6.26,46,177,33.5,High
Amravati,2025-02-12,1.75,101,158,54.9,Low
Ambarnath,2025-08-20,5.73,79,173,59.1,High
Amravati,2024-11-22,9.38,38,147,46.4,Extremely High
Amravati,2024-10-12,6.43,18,153,42.0,High
Ahmednagar,2024-12-18,4.05,87,150,38.8,Medium
Chandrapur,2024-02-14,3.26,100,179,49.0,Medium
Panvel,2023-08-19,8.92,27,140,74.7,Extremely High
Kolhapur,2025-05-09,9.49,52,149,51.6,Extremely High
Nandurbar,2024-07-25,9.36,93,179,65.6,Extremely High
Bhiwandi,2024-12-29,7.25,89,133,40.3,High
Akola,2024-07-03,8.03,37,134,39.7,Extremely High
Washim,2024-12-08,8.85,28,124,53.8,Extremely High
Sangli,2025-05-03,7.42,51,152,28.4,High
Pune,2024-07-21,4.38,33,126,32.8,Medium
Vasai-Virar,2023-09-30,2.55,51,155,22.8,Medium
Sangli,2025-06-17,4.81,85,158,55.9,Medium
Solapur,2023-12-25,8.01,76,169,57.1,Extremely High
Akola,2024-09-28,4.22,57,129,45.9,Medium
Wardha,2024-04-16,2.2,109,170,19.5,Low
Thane,2023-05-10,3.35,110,124,54.7,Medium
Solapur,2023-04-26,7.02,28,168,44.4,High
Beed,2025-12-06,7.44,63,135,30.6,High
Navi Mumbai,2025-08-24,4.72,115,173,46.8,Medium
Ambarnath,2023-11-27,2.07,79,106,22.2,Low
Osmanabad,2023-12-19,6.95,32,130,70.2,High
Nandurbar,2025-07-26,6.35,87,165,56.9,High
Aurangabad,2023-07-23,8.57,87,137,46.1,Extremely High
Ratnagiri,2024-05-15,8.53,76,183,64.2,Extremely High
Panvel,2024-12-16,8.86,58,154,76.0,Extremely High
Pune,2024-09-25,5.54,94,140,52.5,High
Parbhani,2023-12-03,5.96,70,134,57.8,High
Ichalkaranji,2023-08-29,5.59,63,150,30.9,High
Mira-Bhayandar,2023-05-04,7.34,100,132,46.1,High
Navi Mumbai,2024-10-03,3.4,90,176,33.7,Medium
Kolhapur,2025-07-31,4.77,65,141,45.2,Medium
Solapur,2023-08-11,5.78,116,150,53.2,High
Washim,2025-02-11,9.65,21,156,64.1,Extremely High
Thane,2024-07-08,6.58,78,119,46.1,High
Nagpur,2024-11-19,4.96,99,167,25.8,Medium
Sindhudurg,2023-01-21,4.95,38,126,29.5,Medium
Nandurbar,2025-09-29,9.81,20,153,62.4,Extremely High
Malegaon,2024-06-16,6.21,51,152,52.2,High
Ulhasnagar,2023-03-18,6.4,93,181,48.8,High
Sindhudurg,2023-10-12,4.45,43,169,56.3,Medium
Sindhudurg,2024-09-06,7.74,16,152,57.4,High
Ahmednagar,2024-05-05,8.67,51,170,58.1,Extremely High
Hingoli,2023-01-13,1.45,88,153,11.6,Low
Washim,2023-06-08,7.99,44,150,53.6,High
Sangli,2024-05-29,3.74,111,115,49.5,Medium
Jalgaon,2025-04-01,8.22,37,123,42.6,Extremely High
Akola,2023-04-06,4.64,46,144,51.9,Medium
Mira-Bhayandar,2025-02-05,1.42,68,176,29.1,Low
Sangli,2024-09-06,8.39,106,146,51.7,Extremely High
Satara,2025-09-19,2.94,36,124,48.8,Medium
Kolhapur,2023-06-15,8.39,28,150,66.5,Extremely High
Palghar,2024-01-19,1.72,71,163,50.2,Low
Bhusawal,2024-05-07,5.91,113,170,35.7,High
Solapur,2025-02-20,3.55,96,110,32.8,Medium
Beed,2025-11-22,2.35,108,173,26.2,Low
Dhule,2023-09-27,5.18,100,175,28.6,High
Panvel,2024-12-02,9.72,16,180,62.9,Extremely High
Beed,2025-06-29,2.26,118,137,25.6,Low
Ratnagiri,2024-06-09,8.76,51,157,65.8,Extremely High
Navi Mumbai,2025-10-11,9.14,62,124,56.8,Extremely High
Parbhani,2024-06-01,3.47,100,141,30.0,Medium
Kalyan-Dombivli,2023-03-23,6.99,76,124,68.4,High
Nagpur,2023-11-16,8.91,34,174,73.8,Extremely High
Amravati,2025-09-27,6.77,55,129,36.7,High
Hingoli,2024-06-07,3.75,71,137,56.3,Medium
Bhusawal,2023-04-19,9.5,97,147,53.6,Extremely High
Washim,2023-07-21,5.46,57,164,50.8,High
Mira-Bhayandar,2023-04-15,8.35,69,121,69.5,Extremely High
Akola,2025-05-10,3.78,119,165,47.5,Medium
Ahmednagar,2024-05-22,3.29,43,165,22.8,Medium
Parbhani,2023-08-03,4.84,47,187,27.0,Medium
Malegaon,2025-10-20,8.18,55,144,30.2,Extremely High
Aurangabad,2023-08-10,1.15,95,102,53.3,Low
Chandrapur,2025-05-19,1.2,134,140,29.7,Low
Panvel,2024-06-08,7.06,47,153,31.4,High
Jalna,2025-03-17,7.51,49,146,30.2,High
Yavatmal,2024-03-18,8.63,63,189,74.2,Extremely High
Washim,2025-11-12,5.2,54,121,53.1,High
Beed,2025-03-19,3.77,93,167,51.8,Medium
Malegaon,2025-06-28,5.48,76,159,42.8,High
Akola,2025-07-24,2.64,51,142,41.6,Medium
Jalna,2023-06-07,6.68,62,132,48.2,High
Sangli,2023-06-28,3.22,85,120,44.5,Medium
Beed,2025-07-13,4.93,33,117,27.9,Medium
Dhule,2023-04-28,3.92,114,120,49.1,Medium
Mira-Bhayandar,2023-08-29,6.22,34,187,61.4,High
Bhandara,2024-02-12,4.56,108,164,22.0,Medium
Chandrapur,2024-07-05,8.99,68,194,34.1,Extremely High
Gondia,2023-08-17,9.31,92,166,56.6,Extremely High
Ratnagiri,2025-07-22,5.46,77,162,53.0,High
Dhule,2024-03-01,6.79,105,153,53.7,High
Ulhasnagar,2024-06-28,2.35,63,154,12.3,Low
Malegaon,2024-05-26,1.12,107,140,24.6,Low
Washim,2025-04-03,6.89,52,177,38.0,High
Satara,2023-01-12,4.61,86,176,48.2,Medium
Nandurbar,2025-01-28,8.22,107,191,38.6,Extremely High
Nanded,2025-03-09,8.18,37,142,51.8,Extremely High
Chandrapur,2024-06-25,3.83,48,150,42.6,Medium
Nagpur,2024-06-04,4.92,62,152,52.9,Medium
Sangli,2024-06-05,5.08,73,159,29.5,High
Dhule,2023-05-06,7.45,33,166,50.3,High
Bhusawal,2025-02-07,1.16,44,161,18.5,Low
Osmanabad,2024-05-25,5.88,52,188,45.8,High
Vasai-Virar,2024-04-09,1.6,126,170,30.7,Low
Osmanabad,2024-02-13,3.12,55,177,21.8,Medium
Satara,2025-02-02,1.44,119,179,17.2,Low
Ratnagiri,2024-11-05,4.35,54,121,50.2,Medium
Sindhudurg,2025-05-12,2.38,95,147,39.6,Low
Washim,2025-12-16,1.71,132,109,45.3,Low
Satara,2025-02-01,4.38,96,149,23.3,Medium
Hingoli,2023-09-20,3.64,35,143,53.0,Medium
Kolhapur,2025-12-22,3.8,48,145,34.9,Medium
Beed,2025-03-16,5.37,107,173,53.0,High
Thane,2023-07-16,3.04,56,178,46.4,Medium
Ahmednagar,2025-07-09,5.65,34,115,34.9,High
Nandurbar,2024-12-20,5.98,50,117,63.6,High
Wardha,2025-01-07,3.79,108,155,29.0,Medium
Yavatmal,2025-06-07,4.2,84,149,55.1,Medium
Beed,2024-09-29,8.55,42,118,71.5,Extremely High
Parbhani,2024-04-27,2.95,42,120,42.7,Medium
Aurangabad,2025-02-11,8.6,80,152,66.7,Extremely High
Dhule,2024-12-28,5.45,22,166,57.0,High
Nandurbar,2025-05-17,2.04,77,110,36.0,Low
Nanded,2024-09-14,1.63,94,169,33.2,Low
Pune,2023-11-30,7.42,91,166,62.0,High
Sindhudurg,2025-08-06,8.7,8,143,75.1,Extremely High
Sindhudurg,2024-05-09,7.49,39,184,36.0,High
Dhule,2024-10-21,7.41,99,191,63.1,High
Ahmednagar,2024-06-14,8.84,101,128,43.1,Extremely High
Palghar,2025-01-30,9.06,35,143,33.6,Extremely High
Bhiwandi,2024-09-13,8.2,88,125,68.9,Extremely High
Ambarnath,2025-08-27,8.0,81,190,49.6,Extremely High
Aurangabad,2025-10-28,8.5,51,127,67.9,Extremely High
Solapur,2024-04-21,4.59,90,146,50.2,Medium
Aurangabad,2025-11-01,8.51,31,188,57.8,Extremely High
Amravati,2024-12-17,5.34,101,173,42.7,High
Aurangabad,2025-09-13,3.6,87,184,33.3,Medium
Gondia,2024-01-31,5.29,36,133,49.7,High
Ahmednagar,2024-03-10,2.26,80,133,54.8,Low
Malegaon,2025-02-19,5.68,35,127,27.8,High
Jalgaon,2024-02-09,6.54,75,116,59.0,High
Satara,2025-12-07,5.02,63,176,48.0,High
Kalyan-Dombivli,2025-06-06,9.78,41,147,57.6,Extremely High
Nanded,2025-09-23,6.34,88,141,52.0,High
Ulhasnagar,2024-03-27,9.16,35,142,63.1,Extremely High
Aurangabad,2024-08-21,6.37,102,136,35.7,High
Beed,2023-12-20,6.16,106,160,61.0,High
Navi Mumbai,2024-03-30,3.88,95,186,17.3,Medium
Ichalkaranji,2023-04-11,2.03,81,122,26.5,Low
Jalna,2024-06-08,6.5,105,189,66.1,High
Chandrapur,2024-07-26,8.3,36,164,56.2,Extremely High
Ratnagiri,2023-04-02,3.74,55,127,17.7,Medium
Bhiwandi,2023-11-26,4.08,70,176,58.0,Medium
Vasai-Virar,2024-01-14,5.71,34,169,52.7,High
Gondia,2024-04-12,1.76,52,135,13.5,Low
Latur,2024-11-20,5.73,70,139,65.8,High
Mira-Bhayandar,2024-06-05,3.48,129,185,41.6,Medium
Osmanabad,2023-04-03,4.57,91,173,50.7,Medium
Ambarnath,2023-12-10,2.64,49,120,41.4,Medium
Satara,2023-02-27,9.32,29,188,66.1,Extremely High
Jalgaon,2025-06-03,3.78,85,144,44.1,Medium
Pune,2023-09-05,8.85,87,146,56.3,Extremely High
Chandrapur,2024-01-16,2.23,47,173,12.7,Low
Sindhudurg,2024-01-23,7.91,101,132,66.2,High
Sindhudurg,2023-07-27,5.45,30,169,42.5,High
Thane,2023-02-15,4.6,109,154,42.5,Medium
Kolhapur,2023-10-19,1.87,124,148,43.3,Low
Ahmednagar,2023-05-27,2.38,76,168,55.5,Low
Gondia,2025-05-26,4.43,71,138,28.9,Medium
Wardha,2025-05-30,5.05,56,148,23.6,High
Vasai-Virar,2024-10-08,3.72,55,116,46.6,Medium
Jalgaon,2023-08-08,2.51,119,147,28.5,Medium
Kolhapur,2023-10-05,9.68,80,175,40.2,Extremely High
Bhusawal,2023-10-20,4.22,125,132,51.9,Medium
Malegaon,2024-03-06,7.0,67,156,45.6,High
Hingoli,2025-10-05,3.91,106,185,45.5,Medium
Kalyan-Dombivli,2024-12-20,1.02,49,131,25.6,Low
Bhusawal,2024-11-06,3.58,43,160,25.8,Medium
Gondia,2024-05-22,7.96,47,173,46.7,High
Dhule,2025-07-16,5.99,75,183,29.7,High
Dhule,2024-05-19,9.61,17,180,59.5,Extremely High
Washim,2025-03-30,1.19,107,127,46.9,Low
Latur,2023-11-04,4.01,111,178,38.6,Medium
Parbhani,2024-12-24,4.56,114,171,46.7,Medium
Thane,2023-12-09,4.4,120,110,38.2,Medium
Chandrapur,2025-05-31,9.25,46,142,53.9,Extremely High
Kolhapur,2023-07-15,4.11,127,182,49.2,Medium
Panvel,2025-02-12,3.12,77,124,47.4,Medium
Ambarnath,2024-10-12,2.56,105,178,24.3,Medium
Mumbai,2023-01-28,2.08,48,142,48.6,Low
Washim,2024-01-19,4.25,50,154,23.6,Medium
Nashik,2024-06-08,2.67,77,156,36.7,Medium
Mumbai,2025-02-27,2.36,67,166,16.1,Low
Hingoli,2025-01-16,8.19,27,132,74.0,Extremely High
Nandurbar,2025-11-28,8.83,61,180,65.2,Extremely High
Jalgaon,2024-07-03,9.69,98,133,76.0,Extremely High
Ambarnath,2023-01-14,1.76,137,139,26.1,Low
Ulhasnagar,2025-06-29,1.69,95,156,21.2,Low
Gondia,2024-11-27,3.94,100,172,38.2,Medium
Wardha,2025-10-28,5.14,37,146,57.4,High
Parbhani,2023-11-29,8.43,98,143,57.0,Extremely High
Ahmednagar,2024-12-01,2.04,99,114,41.3,Low
Palghar,2025-09-14,1.15,116,147,41.4,Low
Washim,2025-09-12,1.54,79,114,48.7,Low
Nandurbar,2025-09-20,5.84,93,173,47.4,High
Thane,2024-08-08,7.08,66,151,63.9,High
Beed,2025-07-24,1.67,118,168,43.2,Low
Osmanabad,2023-06-29,5.65,79,152,45.3,High
Satara,2023-08-31,9.5,81,150,33.8,Extremely High
Kolhapur,2025-12-13,8.38,12,156,53.6,Extremely High
Osmanabad,2023-04-17,3.29,79,128,40.8,Medium
Pune,2024-03-29,1.39,119,123,23.3,Low
Mira-Bhayandar,2023-02-05,3.82,100,137,60.5,Medium
Yavatmal,2024-05-21,2.2,77,177,29.9,Low
Chandrapur,2025-03-16,1.67,132,125,42.8,Low
Yavatmal,2024-02-27,2.98,98,181,20.8,Medium
Beed,2025-09-22,8.14,70,120,43.2,Extremely High
Pune,2023-02-12,8.58,30,170,38.0,Extremely High
Beed,2025-07-24,8.28,62,172,72.3,Extremely High
Amravati,2025-05-25,4.24,94,151,56.3,Medium
Hingoli,2023-10-03,1.41,139,132,25.4,Low
Sindhudurg,2023-08-12,6.47,83,151,50.8,High
Dhule,2025-12-23,8.81,45,140,56.6,Extremely High
Dhule,2024-04-30,2.73,49,140,40.6,Medium
Chandrapur,2025-09-09,7.5,65,191,63.6,High
Bhiwandi,2025-05-23,9.45,26,141,62.6,Extremely High
Washim,2024-08-05,5.62,51,118,66.6,High
Sangli,2023-08-03,8.81,48,190,31.7,Extremely High
Yavatmal,2023-08-28,1.57,108,103,32.6,Low
Gondia,2024-10-25,5.87,48,150,39.3,High
Gondia,2023-06-20,1.46,59,116,45.0,Low
Osmanabad,2025-03-09,5.86,99,178,39.5,High
Sangli,2023-05-31,4.5,124,180,45.4,Medium
Pune,2023-04-19,6.46,110,170,51.5,High
Bhiwandi,2025-10-28,6.93,106,155,50.2,High
Ulhasnagar,2023-09-08,1.92,96,172,45.5,Low
Bhiwandi,2023-05-30,1.46,86,112,41.3,Low
Vasai-Virar,2025-10-06,7.64,38,192,57.6,High
Gondia,2024-10-24,7.35,87,159,44.9,High
Beed,2024-11-25,9.29,14,183,60.5,Extremely High
Bhandara,2023-08-31,4.67,67,145,38.8,Medium
Ichalkaranji,2024-02-09,2.98,123,165,26.1,Medium
Pune,2024-03-04,3.15,60,110,34.9,Medium
Kalyan-Dombivli,2025-03-26,6.23,64,179,37.2,High
Beed,2023-10-15,7.28,108,116,54.4,High
Hingoli,2025-09-17,3.69,70,116,48.0,Medium
Nagpur,2025-12-23,9.3,81,155,68.7,Extremely High
Satara,2023-05-25,5.22,36,164,30.2,High
Hingoli,2024-05-11,6.3,107,134,52.3,High
Gondia,2024-01-12,8.48,72,152,39.8,Extremely High
Hingoli,2023-02-12,8.41,75,170,31.5,Extremely High
Jalna,2025-04-24,7.61,94,169,37.3,High
Bhiwandi,2025-11-20,2.24,130,171,37.1,Low
Akola,2023-05-06,8.69,22,124,62.7,Extremely High
Gondia,2023-04-06,8.46,61,139,54.6,Extremely High
Mumbai,2025-12-15,4.92,36,132,53.3,Medium
Jalgaon,2025-01-13,9.46,27,143,53.6,Extremely High
Ichalkaranji,2024-04-14,8.9,98,163,52.5,Extremely High
Ratnagiri,2025-04-15,8.11,48,177,72.6,Extremely High
Pune,2024-05-06,8.47,79,181,44.8,Extremely High
Nashik,2023-10-27,2.59,126,159,31.2,Medium
Kalyan-Dombivli,2024-02-08,4.65,87,119,39.9,Medium
Latur,2025-01-09,1.88,61,142,27.3,Low
Solapur,2025-12-24,4.74,92,185,59.6,Medium
Satara,2023-05-26,5.92,53,175,41.0,High
Ambarnath,2024-09-17,2.26,64,110,28.6,Low
Aurangabad,2023-12-07,3.38,115,173,18.1,Medium
Bhiwandi,2023-05-27,1.65,61,121,28.0,Low
Malegaon,2024-09-30,9.18,75,151,55.5,Extremely High
Jalgaon,2024-06-30,2.14,119,125,20.0,Low
Nashik,2023-06-07,8.68,42,149,37.5,Extremely High
Vasai-Virar,2023-06-17,8.25,77,117,52.1,Extremely High
Thane,2024-04-03,6.62,24,188,64.0,High
Ambarnath,2024-11-14,6.17,49,164,41.4,High
Akola,2025-08-12,8.17,91,130,73.5,Extremely High
Beed,2025-05-01,3.12,132,129,53.1,Medium
Gondia,2023-11-22,9.54,87,121,60.4,Extremely High
Palghar,2024-04-22,3.91,97,154,38.3,Medium
Malegaon,2023-11-29,6.64,112,138,43.3,High
Ichalkaranji,2025-12-08,2.23,100,172,15.1,Low
Amravati,2023-02-21,3.27,53,121,42.6,Medium
Nashik,2023-08-09,8.25,19,149,40.4,Extremely High
Aurangabad,2023-12-25,2.64,65,181,16.4,Medium
Palghar,2023-03-04,3.15,50,158,28.5,Medium
Sindhudurg,2025-02-08,7.16,47,168,41.3,High
Ahmednagar,2023-08-24,1.67,111,159,36.7,Low
Palghar,2025-09-19,3.64,126,173,28.9,Medium
Bhusawal,2024-11-11,1.82,116,152,38.0,Low
Yavatmal,2025-04-04,2.3,127,145,43.0,Low
Wardha,2025-03-31,8.9,85,193,73.4,Extremely High
Washim,2023-02-06,3.34,68,126,41.3,Medium
Nagpur,2023-12-21,1.23,77,155,14.0,Low
Washim,2023-10-22,3.17,38,144,40.1,Medium
Akola,2023-04-24,2.12,63,180,27.5,Low
Bhiwandi,2023-07-25,2.14,45,178,56.2,Low
Chandrapur,2023-02-17,8.57,71,194,74.6,Extremely High
Nagpur,2025-11-14,1.01,143,104,37.4,Low
Sangli,2025-06-15,3.94,105,115,17.8,Medium
Vasai-Virar,2025-01-18,1.8,127,173,20.6,Low
Hingoli,2024-09-03,5.45,98,117,23.7,High
Chandrapur,2024-05-20,2.83,92,146,46.8,Medium
Akola,2023-03-24,9.46,94,196,72.7,Extremely High
Jalgaon,2023-08-31,1.68,122,127,38.8,Low
Latur,2024-03-07,8.67,73,191,42.4,Extremely High
Beed,2025-12-14,8.69,72,117,62.7,Extremely High
Wardha,2023-07-31,2.73,131,112,34.5,Medium
Pune,2023-09-23,2.37,69,127,52.6,Low
Palghar,2025-08-12,7.24,87,152,50.1,High
Vasai-Virar,2025-04-02,6.56,111,138,37.9,High
Palghar,2025-03-19,8.0,37,185,30.5,Extremely High
Satara,2023-10-27,6.22,91,179,68.4,High
Aurangabad,2023-01-14,7.38,29,156,59.6,High
Ahmednagar,2025-12-06,2.44,51,123,56.8,Low
Malegaon,2025-01-14,7.69,48,188,41.6,High
Palghar,2024-02-14,1.92,122,156,24.3,Low
Dhule,2023-08-24,4.54,39,150,37.3,Medium
Parbhani,2023-05-08,7.24,55,175,42.7,High
Gondia,2025-10-16,8.19,65,138,47.8,Extremely High
Ulhasnagar,2025-12-17,3.63,62,108,16.5,Medium
Gondia,2024-03-04,9.61,71,136,74.8,Extremely High
Navi Mumbai,2024-02-27,9.4,48,182,59.2,Extremely High
Malegaon,2025-10-28,1.96,69,168,18.3,Low
Ahmednagar,2023-11-04,5.19,74,189,43.1,High
Chandrapur,2024-02-20,6.27,41,169,54.9,High
Ulhasnagar,2025-03-14,8.31,55,160,39.6,Extremely High
Nashik,2023-07-17,4.71,76,115,62.8,Medium
Ratnagiri,2025-12-20,4.87,99,146,55.6,Medium
Beed,2024-02-11,1.97,50,111,52.3,Low
Latur,2023-09-27,9.63,87,162,66.8,Extremely High
Parbhani,2023-07-15,7.68,109,142,43.5,High
Palghar,2024-07-26,4.82,90,120,58.2,Medium
Mira-Bhayandar,2023-02-21,6.2,72,124,56.0,High
Nagpur,2023-06-30,7.04,73,135,52.0,High
Akola,2024-03-11,9.68,73,125,37.1,Extremely High
Kalyan-Dombivli,2024-04-12,8.58,33,153,58.3,Extremely High
Navi Mumbai,2024-12-03,2.33,50,141,33.7,Low
Dhule,2025-07-27,5.82,29,169,26.7,High
Pune,2023-06-09,2.94,130,132,45.2,Medium
Nagpur,2023-12-24,4.6,117,184,63.0,Medium
Ulhasnagar,2024-02-16,3.66,60,150,23.2,Medium
Beed,2023-06-23,2.67,134,114,45.5,Medium
Latur,2024-01-17,9.36,78,175,36.4,Extremely High
Sindhudurg,2025-01-15,9.56,8,137,71.2,Extremely High
Nanded,2024-08-18,9.22,86,183,43.0,Extremely High
Osmanabad,2024-05-11,7.57,31,126,63.2,High
Nashik,2023-01-18,9.01,64,139,43.7,Extremely High
Akola,2023-04-13,4.93,69,122,48.1,Medium
Bhandara,2024-02-06,1.25,44,162,27.4,Low
Parbhani,2025-07-10,6.93,36,191,64.9,High
Nagpur,2023-06-07,6.53,52,186,38.4,High
Gondia,2024-06-16,7.63,71,132,67.7,High
Kalyan-Dombivli,2024-04-28,9.43,53,165,46.1,Extremely High
Aurangabad,2024-07-29,4.58,49,181,28.0,Medium
Mumbai,2023-06-17,9.43,21,184,76.2,Extremely High
Ambarnath,2023-08-09,2.39,114,130,41.6,Low
Bhusawal,2025-01-09,4.56,102,138,36.2,Medium
Beed,2024-08-14,1.93,137,171,29.4,Low
Nandurbar,2024-05-23,7.78,32,170,44.9,High
Parbhani,2025-02-11,1.4,78,125,28.5,Low
Beed,2023-12-16,2.56,95,141,49.1,Medium
Bhandara,2025-01-26,7.45,105,175,59.5,High
Panvel,2024-02-09,5.71,51,158,49.5,High
Pune,2023-08-15,4.29,83,130,19.6,Medium
Nagpur,2023-05-31,7.91,101,137,46.9,High
Ratnagiri,2024-06-05,7.98,58,165,36.6,High
